id,code
1,T163-1A
2,C3-5159
3,C15-4856
4,T50-3A
5,T157-1A
6,T152-1A
7,T152-2A
8,C7-5154
9,T50-1A
10,T55-3A
11,D3-5204
12,T55-1A
13,B25-4126
14,C4-4791
15,F1-509
16,C13-5036
17,B4-4785
18,T68-3A
19,T106-1A
20,S25-4493
21,F1-120
22,F1-116
23,C12-4792
24,B7-5124
25,T68-2A
26,B2-4957
27,T9-3A
28,FAA-102
29,B21-4968
30,T36-1A
31,T213-2A
32,T27-2A
33,D4-5199
34,T42-1A
35,T173-2A
36,C3-5153
37,B23-5148
38,F1-407
39,T74-1A
40,E7-4808
41,C9-5162
42,C17-5151
43,T24-1A
44,T171-1A
45,T158-1A
46,C23-4886
47,T160-1A
48,F1-117
49,D9-5212
50,C30-4571
51,C16-4839
52,T52-3A
53,T37-1A
54,D2-5189
55,C18-4858
56,C17-5187
57,C15-4790
58,B23-4966
59,T18-1A
60,C27-4527
61,D7-4904
62,T212-2A
63,C8-5164
64,D5-5202
65,T55-2A
66,C6-5035
67,D7-4905
68,D7-4903
69,C3-5179
70,C6-5155
71,D9-4910
72,D7-4906
73,T43-1A
74,F1-118
75,F1-CPP
76,C6-5242
77,E4-4822
78,S9-4454
79,FAA-104
80,E2-4305
81,D3-5200
82,T16-1A
83,T49-1A
84,T34-1A
85,C13-5170
86,B20-4970
87,C3-4793
88,C4-5157
89,F1-231
90,D3-4897
91,C19-4846
92,C30-4572
93,C17-4329
94,C17-4842
95,B21-5205
96,T161-1A
97,C12-4400
98,T38-1A
99,T50-3A
100,T55-2A
101,C12-4400
102,FAA-125
103,FAA-120
104,T18-2A
105,FAA-101
106,C14-4851
107,FAA-318
108,C17-5151
109,FAA-116
110,FAA-312
111,FAA-103
112,FAA-317
113,FAA-102
114,C23-4886
115,FAA-100
116,T46-1A
117,FAA-115
118,T55-1A
119,T37-1A
120,C13-5170
246,T158-1A
121,C17-5187
122,FAA-303
123,FAA-109
124,C6-5035
125,C6-5155
126,FAA-313
127,FAA-130
128,C6-5242
129,C9-5162
130,FAA-316
131,FAA-129
132,D2-5189
133,FAA-104
247,T147-3A
134,D5-5202
135,FAA-126
136,D9-5211
137,FAA-123
138,FAA-106
139,D9-5212
140,FAA-107
141,T157-1A
142,C30-4571
143,D9-4910
144,E9-4817
145,C30-4572
146,C15-4790
147,FAA-121
148,C12-4792
149,C18-4858
150,D3-4897
151,FAA-127
152,C19-4846
153,C15-4856
154,C16-5186
155,C3-4793
156,C17-4329
157,T128-2A
158,T65-1A
159,FAA-119
160,T64-1A
161,F1-229
162,B07
163,FAA-124
164,B08
165,B11
166,B14
167,B21-4969
168,C13-5161
169,C15B-4950
170,C15C-4972
171,FAA-311
172,FAA-118
173,C15D-4949
174,T4-1A
175,FAA-105
176,T5-1A
177,T6-1A
178,FAA-117
179,T8-1A
180,T09J400A
181,T21-1A
182,T22-3A
183,FAA-122
184,T61-1A
185,T43-1A
186,T9-3A
187,T161-1A
188,T66-1A
189,F1-246
190,F1-110
191,F1-214
192,T68-2A
193,T253-3A
194,T9-1A
195,B2-4957
196,T154-1A
197,T152-2A
198,T174-1A
199,T104-3A
200,T105-1A
201,T163-1A
202,T17-1A
203,T157-3A
204,T10-1A
205,F1-122
206,T69-1A
207,T212-3A
208,T213-2A
209,T100-3A
210,T18-3A
211,T14-1A
212,T16-1A
213,T10-2A
214,T38-1A
215,B25-4126
216,T160-1A
217,T174-2A
218,T159-3A
219,T212-1A
220,T147-2A
221,T9-2A
222,T68-3A
223,T140-2A
224,T47-2A
225,T171-1A
226,T173-2A
227,T167-1A
228,T212-2A
229,T67-3A
230,T68-1A
231,T41-1A
232,T34-1A
233,T55-3A
234,T65-2A
235,T10-3A
236,T106-1A
237,T49-1A
238,T11-1A
239,T18-1A
240,T26-1A
241,T27-1A
242,T27-2A
243,T29-1A
244,T106-2A
245,T173-1A
248,T152-1A
249,T159-1A
250,T36-1A
251,T50-1A
252,T52-3A
253,T58-1A
254,T32-1A
255,T47-1A
256,T47-3A
257,T70-1A
258,T74-1A
259,T48-1A
260,T42-1A
1930,FAA-701
261,C27-4527
262,F1-600
263,E8-4816
264,B25-4401
265,B19-4387
266,B3-4921
267,E2-4305
268,E3-4811
269,E4-4809
270,E4-4819
271,E4-4820
272,E4-4822
273,E6-4821
274,E7-4808
275,E8-4304
276,E8-4810
277,E8-4812
278,C16-4839
279,B30-4340
280,B30-4341
281,B30-4433
282,B30-4434
283,C17-4842
284,C4-4791
285,D9-4911
286,B4-4785
287,B4-4112
288,F1-231
289,F1-2228
290,FAA-403
291,FAA-401
292,FAA-400
293,T18-1A
294,F1-120
295,FAA-100
296,T22-3A
297,D5-4894
298,FAA-101
299,T24-1A
300,C6-5242
301,T21-1A
302,B22-5150
303,C19-4846
304,FAA-104
305,C4-5157
306,C6-5035
307,FAA-115
308,C6-5155
309,C7-5154
310,FAA-116
311,C8-5164
312,C9-5165
313,FAA-118
314,D2-5189
315,D3-5200
316,FAA-121
978,T10-2A
317,D3-5204
318,C9-5162
319,FAA-126
320,D4-5199
321,D5-5202
322,FAA-303
323,D9-5211
324,D9-5212
325,E3-5238
326,B21-4968
327,B21-5145
328,B21-5205
329,B23-4966
330,B23-5148
331,C10-5180
332,C11-5171
333,C12-5160
334,C13-5036
335,C13-5166
336,C13-5170
337,C15-5176
338,C15-5182
1931,FAA-700
339,C16-5186
340,C17-5151
341,C17-5187
342,C20-5178
343,B4-5128
344,C21-5184
345,C22-5181
346,C22-5183
347,D9-4910
348,C17-4329
349,C30-4572
350,B07
351,B08
352,B11
353,B21-4969
354,C15C-4972
355,C15D-4949
356,C17-4842
357,C30-4571
358,B25-4401
359,B4-4785
360,C12-4400
361,D3-4897
362,D9-4911
363,E8-4810
364,C15-4856
365,C4-4791
366,E8-4816
367,C2-5229
368,B19-4387
369,B7-5124
370,B30-4340
371,B6-5126
372,B20-4970
373,C18-4858
374,C3-4793
375,E2-4305
376,B5-5122
377,E4-4809
378,B7-5127
379,E4-4820
380,E4-4822
381,E6-4821
382,F1-600
383,E7-4808
384,C27-4527
385,E4-4819
386,E8-4304
387,E8-4812
388,B4-4112
389,C28-4890
390,C14-4851
391,B4-4953
392,E3-4811
393,C3-5159
394,C16-4839
395,C15-4790
396,C12-4792
397,C23-4886
398,E9-4817
399,B25-4126
400,C5-5158
401,F1-121
402,C3-5179
403,T29-1A
404,T26-1A
405,T32-1A
406,B2-5123
407,T58-1A
408,T48-1A
409,T50-3A
410,T43-1A
411,T50-1A
412,T68-1A
413,T66-1A
414,T74-1A
415,T70-1A
416,T55-1A
417,T55-2A
418,T52-3A
419,T47-3A
420,T47-1A
421,T46-1A
422,T36-1A
423,T11-1A
424,T42-1A
425,T41-1A
426,T10-3A
427,T27-1A
428,T159-1A
429,T158-1A
430,T173-1A
431,T159-3A
432,T171-1A
433,T157-1A
434,T167-1A
435,T152-1A
436,T147-3A
437,T140-2A
438,T65-2A
439,T128-2A
440,F1-122
441,B3-4921
442,T147-2A
443,T163-1A
444,T174-2A
445,T213-2A
446,T10-1A
447,T8-1A
448,T18-3A
449,T14-1A
450,T37-1A
451,T27-2A
452,T106-1A
453,T100-3A
454,T67-3A
455,T49-1A
456,T55-3A
457,C3-5153
458,T69-1A
459,T34-1A
460,T38-1A
461,T10-2A
462,T17-1A
463,T16-1A
464,T157-3A
465,T6-1A
466,T5-1A
467,T173-2A
468,T212-2A
469,T154-1A
470,F1-2111
471,T160-1A
472,T9-1A
473,T9-2A
474,T68-3A
475,T68-2A
476,T253-3A
477,T47-2A
478,T152-2A
479,T212-1A
480,T212-3A
1932,T232-2A
481,B2-4957
482,T174-1A
483,T61-1A
484,T09J400A
485,T4-1A
486,T9-3A
487,T18-2A
488,T161-1A
489,F1-110
490,F1-246
491,F1-214
492,F1-239
493,F1-231
494,T64-1A
495,F1-229
496,F1-2228
497,T65-1A
498,FAA-317
499,FAA-107
500,FAA-127
501,FAA-129
502,FAA-130
503,FAA-311
504,FAA-312
505,FAA-313
506,FAA-316
507,FAA-125
508,FAA-318
509,FAA-400
510,FAA-401
511,FAA-403
512,FAA-102
513,FAA-128
514,FAA-105
515,FAA-123
516,FAA-120
517,FAA-103
518,FAA-106
519,FAA-109
520,FAA-117
521,FAA-119
522,FAA-122
523,FAA-124
524,C16-4839
525,FAA-303
526,T10-1A
527,FAA-126
528,T18-2A
529,FAA-121
530,E2-4305
531,FAA-118
532,T4-1A
533,FAA-116
534,C15-5182
535,FAA-115
536,T49-1A
537,FAA-104
538,C3-4793
539,FAA-102
540,T8-1A
541,FAA-101
542,C6-5035
543,FAA-100
544,T163-1A
545,C5-5158
546,C6-5155
547,T68-1A
